,item_skey,item_number,item_description,item_category
1043,8210,1438001,Methyltestosterone CIII (250 mg),Active Pharmaceutical Ingredients
1044,9473,1076374,"Brinzolamide Related Compound A (50 mg) ((S)-4-(Ethylamino)-2-(3-methoxypropyl)-3,4-dihydro-2H-thieno[3,2-e] [1,2]thiazine-6-sulfonamide 1,1-dioxide), (Brinzolamide (S)-Isomer))",Impurity
1045,6351,1269505,Fenoprofen Calcium (500 mg),Active Pharmaceutical Ingredients
1046,16119,1225601,Doxercalciferol (2 x 20 mg),Active Pharmaceutical Ingredients
1047,12274,1048517,"Beclomethasone Dipropionate Related Compound A (25 mg) (9-Chloro-11Beta,17-dihydroxy-16Beta-methyl-3,20-dioxopregna-1,4-diene-21-yl propionate)",Impurity
1048,14248,1012553,Albendazole (200 mg),Active Pharmaceutical Ingredients
1049,11248,1498706,Parbendazole (200 mg),Active Pharmaceutical Ingredients
1050,17877,1699016,Tropicamide Related Compound A (100 mg) (N-(pyridin-4-ylmethyl)ethanamine),Impurity
1051,8073,1604814,Ritonavir Related Compounds Mixture (50 mg),Impurity
1052,10769,1445459,Molindone Hydrochloride (500 mg),Active Pharmaceutical Ingredients
1053,11409,1651009,Tetracycline Hydrochloride (200 mg) (INTERNATIONAL COLD CHAIN SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
1054,17769,1724543,Zidovudine Related Compound D (50 mg) ([1-(2-Deoxy-beta-D-ribofuranosyl)]thymine),Impurity
1055,2026,1620220,Stavudine System Suitability Mixture (10 mg),System Suitability
1056,5204,1376017,"Mecamylamine Related Compound A (10 mg) (N,1,7,7-tetramethyl bicyclo [2.2.1] heptan-2-amine hydrochloride)",Impurity
1057,4627,1086210,Calcitonin Salmon Related Compound A (20 mg) (N-acetyl-Cys(1)-calcitonin salmon) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
1058,13863,1604836,Rivastigmine (0.1 mL),Active Pharmaceutical Ingredients
1059,14103,1500003,Paromomycin Sulfate (125 mg),Product Specific Reference Standard
1060,38192,1706712,Urea Related Compound A (15 mg) (Dicarbonimidic diamide),Impurity
1061,74310,1069049,Betamethasone Valerate Related Compound D,Impurity
1062,16388,1282707,Fondaparinux Sodium for Assay (0.6 mL) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
1063,4872,1283481,Fosinopril Related Compound H (25 mg) (4-phenylbutyl phosphonic acid),Impurity
1064,10870,1285909,Fluvoxamine Maleate (200 mg),Active Pharmaceutical Ingredients
1065,4086,1614454,Sodium Nitrite (1 g),Active Pharmaceutical Ingredients
1066,15433,1468454,Norelgestromin (200 mg),Active Pharmaceutical Ingredients
1067,11235,1083100,3-tert-Butyl-4-hydroxyanisole (200 mg),Excipients
1068,15534,1134118,Cisatracurium Besylate (350 mg) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
1069,10289,1339178,Indinavir (100 mg),Active Pharmaceutical Ingredients
1070,10316,1667280,Tiagabine Hydrochloride (300 mg),Active Pharmaceutical Ingredients
1071,11420,1197506,Diflunisal (200 mg),Active Pharmaceutical Ingredients
1072,13916,1491809,Paliperidone (200 mg),Active Pharmaceutical Ingredients
1073,6893,1349502,L-Isoleucine (200 mg),Dietary Supplements
1074,6422,1568506,L-Proline (200 mg),Dietary Supplements
1075,10726,1700501,L-Tryptophan (200 mg),Dietary Supplements
1076,11508,1148001,Colistin Sulfate (200 mg),Product Specific Reference Standard
1077,11616,1206006,Dimenhydrinate (200 mg),Active Pharmaceutical Ingredients
1078,11434,1457618,Nateglinide Related Compound A (10 mg) (trans-4-isopropylcyclohexanecarboxylic acid),Impurity
1079,6118,1446600,"Monosodium Glutamate (500 mg) (Monosodium L-glutamate, monohydrate)",Excipients
1080,11903,1375105,Mannitol (1.5 g),Excipients
1081,11751,1325005,Hydroxyamphetamine Hydrobromide (200 mg) ((+/-)-p-(2-Aminopropyl)phenol hydrobromide),Active Pharmaceutical Ingredients
1082,17951,1213136,"Dinoprostone Related Compound C (20 mg) ((E)-7-{(1R,2R,3R)-3-Hydroxy-2-[(S,E)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl}hept-5-enoic acid)",Impurity
1083,9396,1075203,"Bis(2-ethylhexyl)maleate (2 g) (Maleic acid, bis(2-ethylhexyl)ester)",Impurity
1084,8360,1162330,Dacarbazine Related Compound B (50 mg) (2-Azahypoxanthine monohydrate),Impurity
1085,61110,1096019,Carbinoxamine Related Compound A (25 mg) ((4-Chlorophenyl)(pyridin-2-yl)methanone),Impurity
1086,13547,1285986,Flutamide Related Compound B (20 mg) (N-[4-nitro-3-(trifluoromethyl)phenyl]acetamide),Impurity
1087,10706,1554670,"Praziquantel Related Compound C (50 mg) (2-(N-formylhexahydrohippuroyl)-1,2,3,4-tetrahydroisoquinolin-1-one)",Impurity
1088,10890,1554658,"Praziquantel Related Compound A (20 mg) (2-benzoyl-1,2,3,6,7,11b-hexahydro-4H-pyrazino [2,1-a]isoquinolin-4-one)",Impurity
1089,17843,1252193,Estradiol Cypionate System Suitability Mixture (10 mg),System Suitability
1090,13297,1005048,"Acetazolamide Related Compound D (25 mg) (5-Amino-1,3,4-thiadiazole-2-sulfonamide)",Impurity
1091,11620,1211006,Dimethyl Sulfoxide (3 g),Impurity
1092,13591,1667155,"Ticlopidine Related Compound A (20 mg) (4-oxo-4,5,6,7-tetrahydrothieno-[3,2-c]pyridine)",Impurity
1093,13684,1667144,Ticlopidine Hydrochloride (150 mg),Active Pharmaceutical Ingredients
1094,15986,1269094,Exemestane System Suitability Mixture (25 mg),System Suitability
1095,7937,1443500,Miconazole Nitrate (200 mg),Active Pharmaceutical Ingredients
1096,10101,1270708,Flavoxate Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1097,13989,1107004,Chloramphenicol (200 mg),Active Pharmaceutical Ingredients
1098,17074,1445664,"Moexipril Related Compound G (20 mg) ((S)-6,7-dimethoxy-2-{(S)-2-[(S)-1-methoxy-1-oxo-4-phenylbutan-2-ylamino]propanoyl}-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid, hydrochloride)",Impurity
1099,11359,1067001,Betamethasone Acetate (500 mg),Active Pharmaceutical Ingredients
1100,1464,1162487,Dalteparin Sodium (300 mg),Product Specific Reference Standard
1101,9022,1274505,Flunisolide (200 mg),Active Pharmaceutical Ingredients
1102,4768,1370757,"Lumefantrine Related Compound A (25 mg) ((RS, Z)-2-(Dibutylamino)-2-(2,7-dichloro-9-(4-chlorobenzylidene)-9H-fluoren-4-yl)ethanol hydrochloride)",Impurity
1103,11823,1392829,"Mesna Related Compound B (50 mg) (2,2'-Disulfanediylbis(ethane-1-sulfonic acid), dipotassium salt, crystal adduct with sodium chloride)",Impurity
1104,71676,1615876,Sorafenib Tosylate (200 mg),Active Pharmaceutical Ingredients
1105,15234,1486015,"Oxymetazoline Related Compound A (15 mg) (N-(2-Aminoethyl)-2-[4-(tert-butyl)-3-hydroxy-2,6-dimethylphenyl]acetamide hydrochloride)",Impurity
1106,11771,1041008,Apomorphine Hydrochloride (250 mg),Active Pharmaceutical Ingredients
1107,13896,1667701,Alpha Tocopheryl Acetate (250 mg) (Vitamin E Acetate) (COLD SHIPMENT REQUIRED),Dietary Supplements
1108,12270,1356687,Lactitol (500 mg),Excipients
1109,13066,1369453,Lomustine Related Compound D (25 mg) (3-(2-Chloroethyl)-1-cyclohexyl-1-nitrosourea),Impurity
1110,6890,1393005,Mesoridazine Besylate (25 mg),Active Pharmaceutical Ingredients
1111,11422,1662504,Thioridazine (200 mg),Active Pharmaceutical Ingredients
1112,15051,1430735,Methylnaltrexone Bromide (100 mg),Active Pharmaceutical Ingredients
1113,13763,1614727,Sodium Sulfide,Impurity
1114,8744,1232006,Edetate Calcium Disodium (200 mg),Excipients
1115,66328,1067737,"Betamethasone Dipropionate Related Compound C (25 mg) (9-Fluoro-11Beta,17-dihydroxy-16Beta-methyl-3,20-dioxopregna-1,4-diene-21-yl propionate)",Impurity
1116,11353,1049000,Bendroflumethiazide (200 mg),Active Pharmaceutical Ingredients
1117,14485,1062008,Benzyl Benzoate (5 g),Active Pharmaceutical Ingredients
1118,1742,1548225,Potassium Citrate (1 g),Food Ingredients
1119,98568,1138212,Clioquinol Related Compound A,Impurity
1120,14524,1301007,Guaifenesin (200 mg),Active Pharmaceutical Ingredients
1121,11785,1044403,Atenolol (200 mg),Active Pharmaceutical Ingredients
1122,41393,1044287,Atenolol Related Compound D (25 mg) (2-[4-(3-Chloro-2-hydroxypropoxy)phenyl]acetamide),Impurity
1123,6733,1356665,Ketorolac Tromethamine (200 mg),Active Pharmaceutical Ingredients
1124,14413,1056005,Benzonatate (1 g),Active Pharmaceutical Ingredients
1125,10919,1044571,"Atorvastatin Related Compound E (10 mg) (Calcium(3S,5S)-7-[2-(4-fluorophenyl)-5-isopropyl-3-phenyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoate (1:2))",Impurity
1126,8226,1044527,"Atorvastatin Related Compound A (20 mg) (Desfluoro impurity, or (3R,5R)-7-[3-(phenylcarbamoyl)-2-isopropyl-4,5-diphenyl-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoic acid calcium salt)",Impurity
1127,10243,1441254,Metoprolol Related Compound C (15 mg) (4-[2-Hydroxy-3-(isopropylamino)propoxy]benzaldehyde hydrochloride),Impurity
1128,15495,1631511,Sulfamethoxazole Related Compound A (15 mg) (N-{4-[N-(5-methylisoxazol-3-yl)sulfamoyl]phenyl}acetamide),Impurity
1129,2759,1356337,"Ketorolac Related Compound C (20 mg) (5-benzoyl-2,3-dihydro-1H-pyrrolizin-1-one)",Impurity
1130,17809,1623411,Succinic Acid (300 mg),Excipients
1131,10552,1046078,Desosaminylazithromycin (15 mg),Impurity
1132,10774,1707806,Ursodiol (125 mg),Active Pharmaceutical Ingredients
1133,6527,1264002,Ethosuximide (500 mg),Active Pharmaceutical Ingredients
1134,1764,1225474,"Doxazosin Related Compound E (20 mg) (2,4-dichloro-6,7-dimethoxyquinazoline)",Impurity
1135,9793,1643463,"Terazosin Related Compound A (50 mg) (6,7-Dimethoxy-2-(piperazin-1-yl)quinazolin-4-amine dihydrochloride)",Impurity
1136,1544,1225441,"Doxazosin Related Compound B (20 mg) (6,7-dimethoxyquinazoline-2,4-dione)",Impurity
1137,88357,1379398,Melphalan System Suitability Mixture,System Suitability
1138,12042,1068004,Betamethasone Sodium Phosphate (500 mg),Active Pharmaceutical Ingredients
1139,10464,1667905,Tizanidine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1140,7160,1226014,"Doxycycline Related Compound A (10 mg) ((4S,4aR,5S,5aR,6S,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide)",Impurity
1141,10654,1535008,Phenytoin (200 mg),Active Pharmaceutical Ingredients
1142,46900,1229817,Duloxetine Hydrochloride (100 mg),Active Pharmaceutical Ingredients
1143,14037,1031503,Amoxicillin (200 mg),Active Pharmaceutical Ingredients
1144,12401,1031514,"Amoxicillin Related Compound A (15 mg) ((2S,5R,6R)-6-Amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid)",Impurity
1145,8933,1242000,Erythromycin (250 mg),Product Specific Reference Standard
1146,9974,1708729,Valproic Acid Related Compound A (0.25 mL) (2-allylpent-4-enoic acid),Impurity
1147,11756,1338007,Imipramine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1148,6984,1140247,Clomipramine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1149,10942,1614308,Sodium Lactate (200 mg),Active Pharmaceutical Ingredients
1150,6734,1321004,Hydrocortisone Valerate (200 mg),Active Pharmaceutical Ingredients
1151,16053,1013013,Allopurinol Related Compound B (25 mg) (5-(formylamino)-1H-pyrazole-4-carboxamide),Impurity
1152,7264,1133580,Oversulfated Chondroitin Sulfate (10 mg),Product Specific Reference Standard
1153,7590,1304038,Heparin Sodium Identification (50 mg) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
1154,14938,1619039,"Spironolactone Related Compound C (30 mg) ((2'R)-3',4'-Dihydro-5'H-spiro[androst-4-ene-17,2'-furan]-3,5'-dione)",Impurity
1155,17446,1619094,Spironolactone Related Compound I (30 mg) (S-[17alpha-(Ethoxymethyl)-17-hydroxy-3-oxoandrost-4-en-7alpha-yl]ethanethioate),Impurity
1156,14940,1619040,"Spironolactone Related Compound D (30 mg) ((2'R)-7alpha-(Acetyldisulfanyl)-3',4'-dihydro-5'H-spiro[androst-4-ene-17,2'-furan]-3,5'-dione)",Impurity
1157,9556,1078799,Bupropion Hydrochloride Related Compound F (40 mg) (1-(3-chlorophenyl)-1-hydroxypropan-2-one) (COLD SHIPMENT REQUIRED),Impurity
1158,9312,1134390,Clarithromycin Identity (10 mg),Other Compendial Uses
1159,12273,1356847,Lamivudine Resolution Mixture A (10 mg),System Suitability
1160,10923,1554206,Pravastatin Sodium (50 mg),Active Pharmaceutical Ingredients
1161,81463,1435069,Methylprednisolone Related Compound E,Impurity
1162,13436,1078245,"Budesonide Related Compound E (25 mg) (16alpha,17-[butylidenebis(oxy)]-11Beta,21-dihydroxypregna-1,4,14-triene-3,20-dione)",Impurity
1163,12712,1414058,"Methotrexate Related Compound E (50 mg) (4-{[(2,4-Diaminopteridin-6-yl)methyl](methyl)amino}benzoic acid, hemihydrochloride)",Impurity
1164,17455,1327408,6-Hydroxynicotinic Acid (50 mg),Dietary Supplements
1165,11726,1356790,"Lamotrigine Related Compound D (10 mg) (N-[5-amino-6-(2,3-dichlorophenyl)-1,2,4-triazin-3-yl]-2,3-dichlorobenzamide)",Impurity
1166,10444,1134233,Citalopram Hydrobromide (200 mg),Active Pharmaceutical Ingredients
1167,19064,1396171,"Metaxalone Related Compound C (25 mg) (Bis[2-hydroxy-3-(3,5-dimethylphenoxy)propyl]amine)",Impurity
1168,38425,1449766,Nadolol Related Compound F (25 mg) (1-(tert-Butylamino)-3-(naphthalen-1-yloxy)propan-2-ol),Impurity
1169,13279,1478527,"Omeprazole Related Compound E (15 mg) (4-Methoxy-2-[[(RS)-(5-methoxy-1H-benzimidazol-2-yl)sulfinyl]methyl]-3,5-dimethylpyridine 1-oxide)",Impurity
1170,13524,1478561,"Omeprazole Related Compound I (15 mg) (4-Methoxy-2-[[(5-methoxy-1H-benzimidazol-2-yl)sulfonyl]methyl]-3,5-dimethylpyridine 1-oxide)",Impurity
1171,11237,1048222,Baclofen Related Compound A (50 mg) (4-(4-Chlorophenyl)-2-pyrrolidinone),Impurity
1172,10325,1378012,"Medroxyprogesterone Acetate Related Compound A (25 mg) (6alpha-Methyl-3,20-dioxopregnan-17-yl acetate)",Impurity
1173,6668,1370600,Lovastatin (125 mg),Active Pharmaceutical Ingredients
1174,9868,1370611,"Lovastatin Related Compound A (20 mg) (4,4a-Dihydrolovastatin)",Impurity
1175,3772,1598450,Ranitidine Resolution Mixture (20 mg),System Suitability
1176,17329,1592737,"Quetiapine Related Compound B (15 mg) (11-(Piperazin-1-yl)dibenzo[b,f][1,4]thiazepine dihydrochloride)",Impurity
1177,12381,1446837,Montelukast for Peak Identification (20 mg),Other Compendial Uses
1178,15371,1586020,Pyridostigmine Related Compound A (50 mg) (Pyridin-3-yl dimethylcarbamate),Impurity
1179,10695,1515000,Phenazopyridine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1180,5427,1605227,"Ropinirole Related Compound B (50 mg) (4-[2-(Dipropylamino)ethyl]indoline-2,3-dione hydrochloride)",Impurity
1181,8854,1434011,Methylphenidate Hydrochloride Erythro Isomer Solution CII (0.5 mL),Impurity
1182,11199,1434022,Methylphenidate Related Compound A (50 mg) (alpha-Phenyl-2-piperidineacetic Acid Hydrochloride),Impurity
1183,13951,1279826,"Fluoxetine Related Compound B (5 mL of a 0.01N HCl Solution, approx. 2 mg/mL) (N-Methyl-3-phenylpropan-1-amine)",Impurity
1184,11350,1096600,Carisoprodol CIV (1 g),Active Pharmaceutical Ingredients
1185,3896,1163162,"Dantrolene Related Compound A (50 mg) (1,2-Bis{[5-(4-nitrophenyl)furan-2-yl]methylene}hydrazine)",Impurity
1186,50927,1524012,"Phenobarbital Related Compound A (30 mg) (5-Ethyl-2,6-diimino-5-phenyltetrahydropyrimidin-4(1H)-one)",Impurity
1187,82663,1606004,Rosuvastatin System Suitability Mixture,System Suitability
1188,16434,1598020,"Rabeprazole Related Compound A (25 mg) (1-(1H-Benzimidazol-2-yl)-3-methyl-4-oxo-1,4-dihydropyridine-2-carboxylate, sodium salt)",Impurity
1189,92677,1623671,Sulbactam Sodium,Active Pharmaceutical Ingredients
1190,11471,1033000,Ampicillin (200 mg),Active Pharmaceutical Ingredients
1191,17781,1367639,Linezolid R-Isomer (20 mg) (N-{[(R)-3-(3-Fluoro-4-morpholinophenyl)-2-oxo-5-oxazolidinyl]methyl}acetamide),Impurity
1192,11540,1012928,Alfuzosin System Suitability Mixture (15 mg),System Suitability
1193,9243,1313006,Hydralazine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1194,13782,1338313,Imiquimod (200 mg),Active Pharmaceutical Ingredients
1195,16059,1268852,Etoposide Resolution Mixture (30 mg),System Suitability
1196,11886,1717504,Vitamin D Assay System Suitability (1.5 g),Dietary Supplements
1197,10570,1667508,Tobramycin (350 mg),Active Pharmaceutical Ingredients
1198,11999,1205003,Diltiazem Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1199,17938,1269028,Ezetimibe (250 mg),Active Pharmaceutical Ingredients
1200,92245,1269040,"R,R,S-Ezetimibe",Impurity
1201,13327,1096994,Cefadroxil System Suitability Mixture (25 mg) (Mixture of cefadroxil and O-ethoxycarbonyl cefadroxil),System Suitability
1202,6831,1225281,Dorzolamide Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1203,13939,1667406,Timolol Maleate (200 mg),Active Pharmaceutical Ingredients
1204,6897,1285603,"Flurazepam Related Compound F (50 mg) (7-chloro-5-(2-fluorophenyl)-1,3-dihydro-2H-1,4-benzodiazepin-2-one)",Impurity
1205,11663,1485205,Oxycodone Hydrochloride CII (1 g),Active Pharmaceutical Ingredients
1206,11526,1478312,Olanzapine Related Compound A (15 mg) (5-Methyl-2-((2-nitrophenyl)amino)-3-thiophenecarbonitrile),Impurity
1207,10880,1624006,Sulfacetamide Sodium (500 mg),Active Pharmaceutical Ingredients
1208,14680,1119309,Chlorthalidone Related Compound A (10 mg) (4'-Chloro-3'-sulfamoyl-2-benzophenone Carboxylic Acid),Impurity
1209,40580,1140445,Clonidine Related Compound C,Impurity
1210,8778,1096666,Carvedilol Related Compound D (15 mg) (4-(Oxiran-2-ylmethoxy)-9H-carbazole),Impurity
1211,13527,1705753,Uracil (15 mg),Impurity
1212,11314,1643408,Temazepam CIV (200 mg),Active Pharmaceutical Ingredients
1213,10546,1467804,Nizatidine (200 mg),Active Pharmaceutical Ingredients
1214,13496,1483185,Oxcarbazepine Related Compound C (10 mg) (Acridin-9(10H)-one),Impurity
1215,8860,1593423,"Quinapril Related Compound B (50 mg) (3-Isoquinolinecarboxylic acid, 2-[2-[(1-carboxy-3-phenylpropyl)amino]-1-oxopropyl]-1,2,3,4-tetrahydro-,[3S-[2[R*(R*)],3R*]])",Impurity
1216,10167,1593412,"Quinapril Related Compound A (50 mg) (Ethyl [3S-[(2R*), 3a, 11ab]]-1,3,4,6,11,11a-hexahydro-3-methyl-1,4-dioxo-a-(2-phenylethyl)-2H-pyrazino[1,2-b]isoquinoline-2-acetate)",Impurity
1217,6926,1302101,Guanfacine Hydrochloride (125 mg),Active Pharmaceutical Ingredients
1218,13151,1012087,"Acyclovir Related Compound G (50 mg) (2-{[2-(Acetylamino)-6-oxo-1,6-dihydro-9H-purin-9-yl]methoxy}ethyl acetate)",Impurity
1219,9818,1672315,Torsemide Related Compound A (75 mg) (4-[(3-methylphenyl)amino]-3-pyridinesulfonamide),Impurity
1220,14116,1672359,"Torsemide Related Compound E (20 mg) (4-(3-Tolyl)-2H-pyrido[4,3-e][1,2,4]thiadiazin-3(4H)-one 1,1-dioxide)",Impurity
1221,11411,1653004,Theophylline (200 mg),Active Pharmaceutical Ingredients
1222,11112,1079000,Butabarbital CIII (200 mg),Active Pharmaceutical Ingredients
1223,13800,1673544,"Trazodone Related Compound D (20 mg) (2-{3-[4-(3-bromophenyl)piperazin-1-yl]propyl}-[1,2,4]triazolo[4,3-a]pyridin-3(2H)-one hydrochloride)",Impurity
1224,4874,1442100,Metronidazole Benzoate (100 mg),Active Pharmaceutical Ingredients
1225,9031,1235933,Entacapone (200 mg),Active Pharmaceutical Ingredients
1226,8762,1443704,Midodrine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1227,12032,1358864,Levalbuterol Related Compound H (10 mg) (4-[2-(tert-Butylamino)-1-methoxyethyl]-2-(hydroxymethyl)phenol acetate),Impurity
1228,79244,1709018,Vancomycin B with Monodechlorovancomycin (300 mg),System Suitability
1229,11846,1200804,Dihydrocodeine Bitartrate CII (200 mg),Active Pharmaceutical Ingredients
1230,4641,1359404,Levetiracetam (200 mg),Active Pharmaceutical Ingredients
1231,19280,1189053,"Dicloxacillin Related Compound D (15 mg) (3-(2,6-Dichlorophenyl)-5-methylisoxazole-4-carboxylic acid)",Impurity
1232,14370,1093012,"Carbamazepine Related Compound A (30 mg) (10,11-dihydrocarbamazepine)",Impurity
1233,13187,1270377,Fexofenadine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1234,9190,1130527,Chlorzoxazone Related Compound A (50 mg) (2-Amino-4-chlorophenol),Impurity
1235,6513,1130505,Chlorzoxazone (350 mg),Active Pharmaceutical Ingredients
1236,1810,1292314,Glimepiride Related Compound A (20 mg) (1-[[p-[2-(3-Ethyl-4-methyl-2-oxo-3-pyrroline-1-carboxamido)ethyl]phenyl]sulfonyl]-3-(cis-4-methylcyclohexyl)urea),Impurity
1237,6671,1287700,Galactose (200 mg) (D-Galactopyranose),Excipients
1238,12085,1479031,Orphenadrine Related Compound C (20 mg) (N-methyl-[2-(2-methylbenzhydryloxy)ethyl]amine hydrochloride),Impurity
1239,11752,1327000,Hydroxychloroquine Sulfate (200 mg),Active Pharmaceutical Ingredients
1240,10321,1708762,Valsartan (350 mg),Active Pharmaceutical Ingredients
1241,12306,1643281,Racemic Tamsulosin Hydrochloride (50 mg),Impurity
1242,11047,1611900,Selegiline Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1243,8925,1399001,Methamphetamine Hydrochloride CII (125 mg),Active Pharmaceutical Ingredients
1244,11417,1019701,Amiloride Hydrochloride (500 mg),Active Pharmaceutical Ingredients
1245,7193,1048685,"Benazepril Related Compound G (15 mg) (COLD SHIPMENT REQUIRED) ((3-(1-Ethoxycarbonyl-3-phenyl-(1S)-propyl)amino-2,3,4,5-tetrahydro-2-oxo-1H-1-(3S)-benzazepine)-1-acetic acid, ethyl ester)",Impurity
1246,13619,1048663,"Benazepril Related Compound E (25 mg) (3-amino-2,3,4,5-tetrahydro-2-oxo-1H-1-(3S)-benzazepine-1-acetic acid, monohydrochloride)",Impurity
1247,6421,1568007,Progesterone (200 mg),Active Pharmaceutical Ingredients
1248,8269,1078008,Brompheniramine Maleate (125 mg),Active Pharmaceutical Ingredients
1249,8261,1603800,Rifabutin (50 mg),Active Pharmaceutical Ingredients
1250,14395,1046170,Azelastine Related Compound B (20 mg) (N'-(1-methylazepan-4-yl)benzohydrazide hydrochloride),Impurity
1251,11520,1098050,Cefprozil (Z)-Isomer (200 mg),Impurity
1252,14573,1098049,Cefprozil (E)-Isomer (50 mg),Impurity
1253,6697,1352008,"Isosorbide (75% solution, 1 g)",Excipients
1254,10396,1353102,Diluted Isosorbide Mononitrate (750 mg),Active Pharmaceutical Ingredients
1255,15943,1646031,Testosterone Related Compound C (15 mg) (17alpha-Hydroxyandrost-4-en-3-one),Impurity
1256,62013,1646075,Testosterone Related Compound G CIII,Impurity
1257,14517,1647001,Testosterone Cypionate CIII (200 mg),Active Pharmaceutical Ingredients
1258,13504,1570315,Propafenone Related Compound A (20 mg) (N-{2-Hydroxy-3-[2-(3-phenylpropanoyl)phenoxy]propyl}-N-propylformamide),Impurity
1259,6938,1299007,Griseofulvin (200 mg),Active Pharmaceutical Ingredients
1260,10608,1444004,Minocycline Hydrochloride (350 mg),Active Pharmaceutical Ingredients
1261,6982,1269200,Famotidine (125 mg),Active Pharmaceutical Ingredients
1262,12667,1448617,"Moxifloxacin Related Compound A (25 mg) (1-cyclopropyl-6,8-difluoro-1,4-dihydro-7-[(4aS,7aS)-octahydro-6H-pyrrolo[3,4-b]pyridin-6-yl]-4-oxo-3-quinolinecarboxylic acid)",Impurity
1263,12479,1011732,Adapalene Related Compound C (25 mg) (2-(adamant-1-yl)methoxybenzene),Impurity
1264,8150,1604880,Rizatriptan Benzoate (200 mg),Active Pharmaceutical Ingredients
1265,4047,1562033,Primidone Related Compound C (20 mg) (2-phenyl butyramide),Impurity
1266,72673,1448945,Mycophenolate Mofetil Related Compound C,Impurity
1267,16064,1012655,Albuterol Related Compound B (10 mg) (2-(tert-butylamino)-1-[4-hydroxy-3-(hydroxymethyl)phenyl]ethanone),Impurity
1268,8929,1370000,Loperamide Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1269,10096,1479304,Oseltamivir Phosphate (200 mg),Active Pharmaceutical Ingredients
1270,11830,1680685,Tributyl Phosphine Oxide (25 mg),Active Pharmaceutical Ingredients
1271,10465,1022808,2-Amino-5-chlorobenzophenone (25 mg),Impurity
1272,10112,1225533,"Doxepin Related Compound C (25 mg) ((E,Z)-3-(Dibenzo[b,e]oxepin-11(6H)-ylidene)-N-methylpropan-1-amine hydrochloride)",Impurity
1273,9399,1225500,Doxepin Hydrochloride (500 mg),Active Pharmaceutical Ingredients
1274,10908,1501108,"Penicillamine Disulfide (200 mg) (3,3'-Dithiodi-D-valine)",Impurity
1275,10867,1501006,Penicillamine (200 mg),Active Pharmaceutical Ingredients
1276,12531,1000500,Abacavir System Suitability Mixture (15 mg) (A mixture containing abacavir sulfate and trans-abacavir),System Suitability
1277,8924,1398009,Methadone Hydrochloride CII (200 mg),Active Pharmaceutical Ingredients
1278,13818,1398042,Methadone Related Compound D CII,Impurity
1279,12351,1048255,Balsalazide Disodium (200 mg),Active Pharmaceutical Ingredients
1280,6731,1356643,Ketoprofen Related Compound A (25 mg) (alpha-methyl-3-(4-methylbenzoyl) benzeneacetic acid),Impurity
1281,8412,1086312,Calcitriol Solution (5 mL) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
1282,11083,1585006,Pyrazinamide (200 mg),Active Pharmaceutical Ingredients
1283,9583,1133004,Cholestyramine Resin (500 mg),Active Pharmaceutical Ingredients
1284,17582,1727018,Zolmitriptan R-Isomer (20 mg) ((R)-4-({3-[2-(Dimethylamino)ethyl]indol-5-yl}methyl)oxazolidin-2-one),Impurity
1285,7694,1672701,"Trandolapril Related Compound C (25 mg) ((2S, 3aR, 7aS)-1-[N-[(S)-1-Carboxy-3-cyclohexylpropyl]-L-alanyl]hexahydro-2-indolinecarboxylic acid 1-ethyl ester hydrochloride)",Impurity
1286,11088,1602003,Resorcinol (200 mg),Active Pharmaceutical Ingredients
1287,10996,1511203,Perphenazine Sulfoxide (25 mg),Impurity
1288,8752,1417001,Methoxsalen (200 mg),Active Pharmaceutical Ingredients
1289,10574,1288463,Gemcitabine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
1290,77720,1554749,Prazosin Related Compound D (25 mg) (Furan-2-yl(piperazin-1-yl)methanone),Impurity
